"[[8, 4, 1], [6, 4, 2]]",2,5,10_easy_full
"[[5, 4, 1], [8, 2, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [5, 4, 1]]",3,2,10_easy_full
"[[4, 9, 1], [0, 5, 2], [5, 3, 1]]",3,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [6, 6, 1]]",3,1,10_easy_full
"[[4, 8, 1], [3, 1, 2]]",2,1,10_easy_full
"[[4, 4, 1], [7, 8, 2]]",2,1,10_easy_full
"[[8, 5, 1], [9, 8, 2], [9, 4, 1]]",3,3,10_easy_full
"[[6, 4, 1], [5, 3, 2]]",2,1,10_easy_full
"[[0, 5, 1], [4, 9, 2], [7, 2, 1]]",3,1,10_easy_full
"[[5, 2, 1], [7, 8, 2]]",2,1,10_easy_full
"[[9, 8, 1], [1, 9, 2]]",2,1,10_easy_full
"[[9, 2, 1], [6, 4, 2]]",2,2,10_easy_full
"[[5, 4, 1], [0, 5, 2]]",2,2,10_easy_full
"[[5, 8, 1], [8, 8, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [6, 3, 1]]",3,1,10_easy_full
"[[3, 0, 1], [4, 1, 2]]",2,1,10_easy_full
"[[6, 3, 1], [9, 9, 2]]",2,1,10_easy_full
"[[3, 0, 1], [9, 4, 2]]",2,4,10_easy_full
"[[9, 2, 1]]",1,19,10_easy_full
"[[5, 4, 1], [3, 0, 2]]",2,2,10_easy_full
"[[5, 8, 1], [0, 8, 2]]",2,1,10_easy_full
"[[6, 5, 1], [1, 2, 2]]",2,1,10_easy_full
"[[6, 7, 1], [9, 1, 2]]",2,1,10_easy_full
"[[6, 5, 1], [9, 8, 2]]",2,73,10_easy_full
"[[6, 3, 1], [9, 8, 2]]",2,20,10_easy_full
"[[7, 7, 1], [9, 4, 2]]",2,10,10_easy_full
"[[5, 5, 1], [7, 4, 2]]",2,1,10_easy_full
"[[7, 4, 1], [4, 7, 2]]",2,1,10_easy_full
"[[8, 5, 1]]",1,98,10_easy_full
"[[4, 4, 1], [7, 4, 2]]",2,6,10_easy_full
"[[7, 7, 1], [4, 4, 2]]",2,6,10_easy_full
"[[9, 8, 1], [4, 9, 2]]",2,1,10_easy_full
"[[9, 4, 1], [5, 2, 2]]",2,4,10_easy_full
"[[1, 8, 1], [1, 9, 2], [9, 4, 1]]",3,9,10_easy_full
"[[8, 7, 1], [6, 4, 2]]",2,2,10_easy_full
"[[8, 7, 1], [4, 4, 2]]",2,4,10_easy_full
"[[4, 9, 1], [0, 5, 2], [5, 8, 1]]",3,1,10_easy_full
"[[8, 3, 1], [4, 4, 2]]",2,16,10_easy_full
"[[0, 9, 1], [6, 3, 2]]",2,1,10_easy_full
"[[0, 3, 1], [4, 4, 2]]",2,1,10_easy_full
"[[5, 2, 1], [6, 8, 2]]",2,1,10_easy_full
"[[2, 0, 1], [9, 2, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [4, 1, 1]]",3,2,10_easy_full
"[[4, 1, 1], [9, 8, 2]]",2,3,10_easy_full
"[[0, 3, 1], [9, 4, 2]]",2,8,10_easy_full
"[[8, 0, 1]]",1,2,10_easy_full
"[[7, 4, 1], [9, 3, 2]]",2,1,10_easy_full
"[[4, 4, 1], [5, 5, 2]]",2,6,10_easy_full
"[[6, 4, 1], [2, 8, 2]]",2,1,10_easy_full
"[[9, 4, 1], [1, 8, 2]]",2,2,10_easy_full
"[[9, 3, 1], [1, 0, 2]]",2,1,10_easy_full
"[[7, 2, 1], [7, 3, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [6, 6, 1]]",3,3,10_easy_full
"[[8, 4, 1], [9, 9, 2]]",2,1,10_easy_full
"[[4, 2, 1], [1, 9, 2]]",2,1,10_easy_full
"[[1, 1, 1], [6, 9, 2]]",2,1,10_easy_full
"[[6, 4, 1], [8, 4, 2]]",2,2,10_easy_full
"[[9, 4, 1], [3, 0, 2]]",2,2,10_easy_full
"[[8, 4, 1], [4, 8, 2]]",2,2,10_easy_full
"[[4, 9, 1], [0, 5, 2], [9, 8, 1]]",3,2,10_easy_full
"[[4, 7, 1], [8, 5, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [6, 5, 1]]",3,8,10_easy_full
"[[8, 1, 1], [9, 8, 2]]",2,7,10_easy_full
"[[5, 4, 1]]",1,259,10_easy_full
"[[4, 9, 1], [0, 5, 2], [3, 0, 1]]",3,1,10_easy_full
"[[0, 2, 1], [9, 8, 2], [9, 4, 1]]",3,2,10_easy_full
"[[1, 9, 1], [1, 8, 2], [8, 7, 1]]",3,3,10_easy_full
"[[9, 8, 1], [4, 2, 2]]",2,1,10_easy_full
"[[9, 3, 1], [6, 7, 2]]",2,1,10_easy_full
"[[5, 8, 1], [0, 9, 2]]",2,2,10_easy_full
"[[1, 9, 1], [1, 8, 2], [9, 4, 1]]",3,2,10_easy_full
"[[1, 8, 1], [1, 9, 2], [4, 8, 1]]",3,2,10_easy_full
"[[2, 2, 1], [6, 4, 2]]",2,3,10_easy_full
"[[5, 8, 1], [0, 9, 2], [5, 4, 1]]",3,1,10_easy_full
"[[6, 7, 1], [4, 4, 2]]",2,3,10_easy_full
"[[8, 5, 1], [8, 7, 2]]",2,2,10_easy_full
"[[5, 2, 1], [7, 4, 2]]",2,1,10_easy_full
"[[5, 6, 1], [5, 4, 2]]",2,1,10_easy_full
"[[4, 2, 1], [9, 8, 2]]",2,15,10_easy_full
"[[3, 2, 1], [2, 8, 2]]",2,1,10_easy_full
"[[8, 3, 1]]",1,98,10_easy_full
"[[4, 9, 1], [0, 5, 2], [8, 3, 1]]",3,3,10_easy_full
"[[1, 9, 1], [1, 8, 2], [5, 5, 1]]",3,2,10_easy_full
"[[2, 2, 1], [5, 4, 2]]",2,1,10_easy_full
"[[7, 5, 1], [9, 3, 2]]",2,2,10_easy_full
"[[5, 3, 1], [4, 4, 2], [5, 4, 1], [6, 5, 2]]",4,1,10_easy_full
"[[5, 4, 1], [5, 2, 2]]",2,2,10_easy_full
"[[6, 5, 1], [0, 2, 2]]",2,1,10_easy_full
"[[5, 4, 1], [5, 6, 2]]",2,4,10_easy_full
"[[1, 8, 1], [1, 9, 2], [6, 9, 1]]",3,4,10_easy_full
"[[6, 6, 1], [9, 8, 2]]",2,4,10_easy_full
"[[0, 3, 1], [6, 5, 2]]",2,1,10_easy_full
"[[3, 0, 1], [9, 8, 2]]",2,2,10_easy_full
"[[8, 4, 1], [4, 1, 2]]",2,1,10_easy_full
"[[5, 2, 1], [6, 7, 2]]",2,1,10_easy_full
"[[5, 4, 1], [7, 7, 2]]",2,3,10_easy_full
"[[4, 8, 1], [4, 4, 2]]",2,6,10_easy_full
"[[4, 7, 1], [9, 8, 2]]",2,3,10_easy_full
"[[7, 3, 1], [9, 2, 2]]",2,4,10_easy_full
"[[6, 5, 1], [3, 0, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [8, 8, 1]]",3,1,10_easy_full
"[[6, 5, 1], [8, 3, 2]]",2,4,10_easy_full
"[[9, 8, 1], [5, 1, 2]]",2,1,10_easy_full
"[[5, 9, 1], [5, 5, 2]]",2,1,10_easy_full
"[[7, 3, 1], [4, 9, 2]]",2,1,10_easy_full
"[[9, 4, 1]]",1,189,10_easy_full
"[[7, 7, 1]]",1,38,10_easy_full
"[[3, 2, 1], [9, 4, 2]]",2,21,10_easy_full
"[[8, 1, 1], [9, 4, 2]]",2,2,10_easy_full
"[[3, 2, 1], [6, 4, 2]]",2,2,10_easy_full
"[[0, 9, 1], [5, 5, 2]]",2,2,10_easy_full
"[[6, 5, 1], [6, 9, 2]]",2,1,10_easy_full
"[[8, 5, 1], [4, 8, 2]]",2,1,10_easy_full
"[[7, 8, 1], [9, 4, 2]]",2,6,10_easy_full
"[[4, 9, 1], [0, 5, 2], [5, 4, 1]]",3,14,10_easy_full
"[[6, 5, 1], [8, 7, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [4, 2, 1]]",3,2,10_easy_full
"[[5, 5, 1], [4, 4, 2]]",2,5,10_easy_full
"[[6, 5, 1], [2, 2, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [4, 4, 1]]",3,1,10_easy_full
"[[3, 2, 1], [4, 9, 2]]",2,1,10_easy_full
"[[7, 3, 1], [4, 4, 2]]",2,5,10_easy_full
"[[0, 3, 1], [6, 6, 2]]",2,2,10_easy_full
"[[5, 2, 1], [4, 4, 2]]",2,3,10_easy_full
"[[7, 3, 1], [9, 8, 2], [9, 4, 1]]",3,2,10_easy_full
"[[6, 5, 1], [8, 4, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [6, 3, 1]]",3,2,10_easy_full
"[[0, 9, 1], [9, 4, 2], [9, 3, 1]]",3,3,10_easy_full
"[[0, 5, 1], [4, 9, 2], [9, 4, 1]]",3,2,10_easy_full
"[[6, 5, 1], [8, 2, 2]]",2,3,10_easy_full
"[[4, 4, 1], [5, 6, 2]]",2,1,10_easy_full
"[[9, 8, 1], [9, 0, 2]]",2,1,10_easy_full
"[[0, 1, 1], [5, 9, 2]]",2,1,10_easy_full
"[[7, 2, 1], [7, 5, 2]]",2,1,10_easy_full
"[[8, 4, 1], [7, 3, 2]]",2,1,10_easy_full
"[[1, 0, 1], [7, 3, 2]]",2,4,10_easy_full
"[[0, 3, 1], [0, 1, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [8, 2, 1]]",3,1,10_easy_full
"[[5, 8, 1], [7, 4, 2]]",2,3,10_easy_full
"[[4, 8, 1], [1, 8, 2]]",2,2,10_easy_full
"[[7, 5, 1], [6, 2, 2]]",2,1,10_easy_full
"[[7, 7, 1], [9, 8, 2]]",2,7,10_easy_full
"[[5, 4, 1], [1, 0, 2]]",2,2,10_easy_full
"[[0, 1, 1], [3, 2, 2]]",2,1,10_easy_full
"[[4, 8, 1], [3, 0, 2]]",2,3,10_easy_full
"[[4, 2, 1], [4, 8, 2]]",2,1,10_easy_full
"[[0, 2, 1], [5, 5, 2]]",2,3,10_easy_full
"[[0, 5, 1], [4, 9, 2], [2, 1, 1]]",3,1,10_easy_full
"[[7, 5, 1], [2, 0, 2]]",2,1,10_easy_full
"[[4, 8, 1], [9, 8, 2]]",2,19,10_easy_full
"[[1, 2, 1], [9, 8, 2]]",2,3,10_easy_full
"[[5, 9, 1], [8, 3, 2]]",2,1,10_easy_full
"[[2, 9, 1], [5, 5, 2]]",2,1,10_easy_full
"[[3, 0, 1], [6, 5, 2]]",2,1,10_easy_full
"[[9, 4, 1], [7, 8, 2]]",2,2,10_easy_full
"[[9, 8, 1], [5, 4, 2]]",2,1,10_easy_full
"[[7, 5, 1], [9, 4, 2]]",2,34,10_easy_full
"[[7, 3, 1], [9, 3, 2]]",2,1,10_easy_full
"[[5, 8, 1], [6, 4, 2]]",2,7,10_easy_full
"[[0, 5, 1], [4, 9, 2], [6, 3, 1]]",3,2,10_easy_full
"[[1, 8, 1], [1, 9, 2], [5, 6, 1]]",3,2,10_easy_full
"[[6, 5, 1], [7, 5, 2]]",2,2,10_easy_full
"[[2, 9, 1]]",1,18,10_easy_full
"[[5, 4, 1], [3, 1, 2]]",2,1,10_easy_full
"[[6, 4, 1], [4, 9, 2]]",2,1,10_easy_full
"[[3, 2, 1], [5, 4, 2]]",2,1,10_easy_full
"[[7, 7, 1], [5, 3, 2]]",2,1,10_easy_full
"[[9, 8, 1], [7, 3, 2]]",2,8,10_easy_full
"[[4, 9, 1], [0, 5, 2], [0, 0, 1]]",3,1,10_easy_full
"[[7, 7, 1], [7, 4, 2]]",2,1,10_easy_full
"[[5, 6, 1], [9, 8, 2]]",2,5,10_easy_full
"[[4, 8, 1], [9, 4, 2]]",2,20,10_easy_full
"[[4, 9, 1], [0, 5, 2], [9, 3, 1]]",3,1,10_easy_full
"[[1, 1, 1], [9, 4, 2]]",2,8,10_easy_full
"[[0, 5, 1], [4, 9, 2], [9, 8, 1]]",3,2,10_easy_full
"[[9, 4, 1], [5, 6, 2]]",2,2,10_easy_full
"[[3, 2, 1], [1, 0, 2]]",2,1,10_easy_full
"[[2, 9, 1], [7, 3, 2]]",2,1,10_easy_full
"[[6, 2, 1], [9, 8, 2]]",2,4,10_easy_full
"[[2, 2, 1], [9, 2, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [3, 1, 1]]",3,1,10_easy_full
"[[9, 4, 1], [2, 0, 2]]",2,1,10_easy_full
"[[6, 4, 1], [1, 1, 2]]",2,2,10_easy_full
"[[4, 8, 1], [5, 2, 2]]",2,1,10_easy_full
"[[8, 3, 1], [9, 4, 2]]",2,22,10_easy_full
"[[5, 4, 1], [5, 5, 2]]",2,13,10_easy_full
"[[0, 3, 1], [4, 9, 2]]",2,1,10_easy_full
"[[5, 2, 1], [9, 4, 2]]",2,17,10_easy_full
"[[0, 5, 1], [4, 9, 2], [5, 7, 1]]",3,2,10_easy_full
"[[3, 0, 1], [4, 4, 2]]",2,4,10_easy_full
"[[8, 4, 1], [5, 1, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [8, 8, 1]]",3,2,10_easy_full
"[[0, 2, 1], [6, 4, 2]]",2,1,10_easy_full
"[[9, 2, 1], [4, 7, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [6, 7, 1]]",3,1,10_easy_full
"[[0, 5, 1], [4, 9, 2], [6, 7, 1]]",3,1,10_easy_full
"[[6, 5, 1], [5, 5, 2]]",2,17,10_easy_full
"[[0, 2, 1], [9, 8, 2]]",2,10,10_easy_full
"[[5, 4, 1], [7, 3, 2]]",2,11,10_easy_full
"[[5, 8, 1], [5, 3, 2]]",2,1,10_easy_full
"[[6, 4, 1], [5, 7, 2]]",2,1,10_easy_full
"[[5, 9, 1], [9, 8, 2]]",2,4,10_easy_full
"[[6, 5, 1], [5, 4, 2]]",2,13,10_easy_full
"[[5, 4, 1], [4, 2, 2]]",2,1,10_easy_full
"[[6, 5, 1], [9, 8, 2], [9, 4, 1], [9, 9, 2]]",4,1,10_easy_full
"[[8, 1, 1]]",1,18,10_easy_full
"[[7, 5, 1], [4, 4, 2]]",2,7,10_easy_full
"[[5, 4, 1], [5, 6, 2], [7, 3, 1]]",3,1,10_easy_full
"[[7, 2, 1], [2, 8, 2], [4, 9, 1]]",3,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [6, 8, 1]]",3,1,10_easy_full
"[[9, 4, 1], [5, 4, 2]]",2,5,10_easy_full
"[[8, 4, 1]]",1,107,10_easy_full
"[[9, 8, 1], [5, 6, 2]]",2,3,10_easy_full
"[[2, 0, 1], [9, 8, 2]]",2,3,10_easy_full
"[[5, 8, 1], [5, 4, 2]]",2,2,10_easy_full
"[[5, 3, 1], [4, 8, 2]]",2,1,10_easy_full
"[[9, 9, 1]]",1,1,10_easy_full
"[[6, 3, 1], [6, 5, 2]]",2,1,10_easy_full
"[[8, 5, 1], [6, 7, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [9, 8, 1]]",3,1,10_easy_full
"[[6, 4, 1], [9, 8, 2]]",2,14,10_easy_full
"[[5, 6, 1], [5, 5, 2]]",2,1,10_easy_full
"[[5, 3, 1], [9, 8, 2]]",2,16,10_easy_full
"[[0, 3, 1], [7, 4, 2]]",2,1,10_easy_full
"[[9, 4, 1], [0, 7, 2]]",2,1,10_easy_full
"[[4, 2, 1], [7, 4, 2]]",2,1,10_easy_full
"[[8, 7, 1], [9, 8, 2]]",2,13,10_easy_full
"[[9, 3, 1], [6, 4, 2]]",2,2,10_easy_full
"[[9, 4, 1], [2, 2, 2]]",2,2,10_easy_full
"[[3, 0, 1], [0, 2, 2]]",2,1,10_easy_full
"[[7, 4, 1], [1, 0, 2]]",2,1,10_easy_full
"[[9, 4, 1], [7, 4, 2]]",2,7,10_easy_full
"[[7, 3, 1], [6, 6, 2]]",2,1,10_easy_full
"[[6, 4, 1], [9, 4, 2], [9, 3, 1]]",3,2,10_easy_full
"[[8, 7, 1]]",1,61,10_easy_full
"[[5, 4, 1], [4, 8, 2]]",2,1,10_easy_full
"[[1, 2, 1]]",1,19,10_easy_full
"[[6, 6, 1], [6, 7, 2]]",2,1,10_easy_full
"[[9, 3, 1], [5, 5, 2]]",2,1,10_easy_full
"[[4, 4, 1], [5, 8, 2]]",2,1,10_easy_full
"[[5, 1, 1]]",1,2,10_easy_full
"[[4, 1, 1]]",1,19,10_easy_full
"[[4, 8, 1], [8, 2, 2]]",2,1,10_easy_full
"[[8, 5, 1], [4, 7, 2]]",2,1,10_easy_full
"[[8, 1, 1], [7, 3, 2]]",2,1,10_easy_full
"[[8, 8, 1]]",1,5,10_easy_full
"[[5, 5, 1]]",1,24,10_easy_full
"[[6, 5, 1], [6, 6, 2]]",2,1,10_easy_full
"[[8, 4, 1], [5, 3, 2]]",2,1,10_easy_full
"[[9, 4, 1], [0, 0, 2]]",2,1,10_easy_full
"[[5, 4, 1], [2, 1, 2]]",2,2,10_easy_full
"[[4, 9, 1], [0, 5, 2], [0, 2, 1]]",3,1,10_easy_full
"[[2, 0, 1]]",1,17,10_easy_full
"[[5, 8, 1], [9, 3, 2]]",2,1,10_easy_full
"[[8, 4, 1], [9, 8, 2], [9, 4, 1], [9, 9, 2]]",4,1,10_easy_full
"[[2, 9, 1], [6, 4, 2]]",2,1,10_easy_full
"[[8, 4, 1], [9, 3, 2]]",2,1,10_easy_full
"[[8, 4, 1], [2, 2, 2]]",2,1,10_easy_full
"[[9, 8, 1], [4, 8, 2]]",2,1,10_easy_full
"[[4, 1, 1], [9, 4, 2]]",2,5,10_easy_full
"[[3, 0, 1], [6, 4, 2]]",2,2,10_easy_full
"[[9, 4, 1], [0, 8, 2]]",2,1,10_easy_full
"[[4, 4, 1]]",1,94,10_easy_full
"[[6, 5, 1], [1, 9, 2]]",2,2,10_easy_full
"[[6, 2, 1], [8, 4, 2]]",2,1,10_easy_full
"[[7, 5, 1], [5, 4, 2]]",2,4,10_easy_full
"[[6, 5, 1], [7, 4, 2]]",2,5,10_easy_full
"[[7, 3, 1], [5, 2, 2]]",2,1,10_easy_full
"[[5, 2, 1], [9, 8, 2]]",2,20,10_easy_full
"[[4, 8, 1], [6, 7, 2]]",2,2,10_easy_full
"[[4, 9, 1], [0, 5, 2], [7, 4, 1]]",3,2,10_easy_full
"[[4, 7, 1], [5, 3, 2]]",2,1,10_easy_full
"[[3, 2, 1], [8, 2, 2]]",2,2,10_easy_full
"[[9, 8, 1], [6, 4, 2]]",2,8,10_easy_full
"[[5, 5, 1], [5, 9, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [7, 3, 1]]",3,2,10_easy_full
"[[4, 4, 1], [9, 4, 2]]",2,24,10_easy_full
"[[1, 1, 1], [6, 3, 2]]",2,1,10_easy_full
"[[2, 0, 1], [7, 8, 2]]",2,1,10_easy_full
"[[5, 5, 1], [8, 7, 2]]",2,1,10_easy_full
"[[9, 2, 1], [0, 2, 2]]",2,1,10_easy_full
"[[1, 0, 1], [6, 5, 2]]",2,1,10_easy_full
"[[8, 3, 1], [2, 2, 2]]",2,1,10_easy_full
"[[6, 2, 1], [9, 4, 2]]",2,5,10_easy_full
"[[1, 8, 1], [1, 9, 2], [6, 3, 1]]",3,1,10_easy_full
"[[5, 8, 1], [6, 5, 2]]",2,1,10_easy_full
"[[7, 4, 1]]",1,98,10_easy_full
"[[4, 4, 1], [0, 5, 2]]",2,1,10_easy_full
"[[7, 2, 1], [2, 1, 2]]",2,1,10_easy_full
"[[4, 4, 1], [6, 7, 2]]",2,1,10_easy_full
"[[3, 0, 1]]",1,17,10_easy_full
"[[9, 8, 1], [2, 1, 2]]",2,2,10_easy_full
"[[9, 4, 1], [4, 8, 2]]",2,1,10_easy_full
"[[9, 8, 1], [5, 8, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [7, 8, 1]]",3,3,10_easy_full
"[[4, 8, 1], [4, 2, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [6, 4, 1]]",3,3,10_easy_full
"[[9, 4, 1], [6, 5, 2]]",2,3,10_easy_full
"[[4, 8, 1]]",1,92,10_easy_full
"[[8, 4, 1], [6, 6, 2]]",2,1,10_easy_full
"[[4, 4, 1], [9, 8, 2]]",2,23,10_easy_full
"[[3, 2, 1], [9, 8, 2]]",2,20,10_easy_full
"[[4, 9, 1], [0, 5, 2], [3, 2, 1]]",3,2,10_easy_full
"[[6, 3, 1]]",1,79,10_easy_full
"[[4, 8, 1], [2, 1, 2]]",2,1,10_easy_full
"[[5, 3, 1], [6, 6, 2]]",2,2,10_easy_full
"[[5, 2, 1], [6, 4, 2]]",2,5,10_easy_full
"[[4, 9, 1]]",1,190,10_easy_full
"[[5, 8, 1]]",1,112,10_easy_full
"[[1, 2, 1], [6, 4, 2]]",2,1,10_easy_full
"[[7, 5, 1], [5, 5, 2]]",2,3,10_easy_full
"[[7, 3, 1], [9, 4, 2]]",2,15,10_easy_full
"[[9, 4, 1], [8, 4, 2]]",2,2,10_easy_full
"[[4, 4, 1], [8, 5, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [0, 9, 1]]",3,2,10_easy_full
"[[8, 3, 1], [5, 2, 2]]",2,1,10_easy_full
"[[4, 4, 1], [2, 9, 2]]",2,1,10_easy_full
"[[5, 6, 1], [7, 2, 2]]",2,1,10_easy_full
"[[5, 3, 1], [6, 7, 2]]",2,3,10_easy_full
"[[1, 1, 1], [7, 4, 2]]",2,1,10_easy_full
"[[6, 5, 1], [5, 7, 2]]",2,3,10_easy_full
"[[8, 3, 1], [7, 3, 2]]",2,2,10_easy_full
"[[4, 8, 1], [7, 8, 2]]",2,1,10_easy_full
"[[8, 4, 1], [9, 8, 2], [9, 4, 1]]",3,2,10_easy_full
"[[9, 4, 1], [6, 2, 2]]",2,2,10_easy_full
"[[0, 5, 1], [4, 9, 2], [6, 2, 1]]",3,2,10_easy_full
"[[9, 8, 1], [7, 7, 2]]",2,3,10_easy_full
"[[4, 4, 1], [8, 1, 2]]",2,1,10_easy_full
"[[5, 4, 1], [5, 8, 2]]",2,2,10_easy_full
"[[9, 4, 1], [6, 4, 2]]",2,9,10_easy_full
"[[4, 9, 1], [0, 5, 2], [5, 9, 1]]",3,4,10_easy_full
"[[0, 9, 1], [4, 1, 2]]",2,1,10_easy_full
"[[6, 5, 1], [1, 1, 2]]",2,1,10_easy_full
"[[7, 8, 1], [9, 8, 2]]",2,3,10_easy_full
"[[6, 4, 1], [4, 4, 2]]",2,6,10_easy_full
"[[4, 9, 1], [0, 5, 2], [1, 2, 1]]",3,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [7, 5, 1]]",3,1,10_easy_full
"[[8, 7, 1], [9, 4, 2]]",2,12,10_easy_full
"[[0, 9, 1], [5, 4, 2]]",2,2,10_easy_full
"[[1, 0, 1]]",1,34,10_easy_full
"[[0, 1, 1], [5, 5, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [8, 5, 1]]",3,4,10_easy_full
"[[0, 9, 1], [4, 4, 2]]",2,7,10_easy_full
"[[1, 1, 1], [8, 4, 2]]",2,1,10_easy_full
"[[4, 8, 1], [7, 3, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [7, 7, 1]]",3,2,10_easy_full
"[[7, 4, 1], [8, 3, 2]]",2,2,10_easy_full
"[[1, 1, 1], [5, 6, 2]]",2,1,10_easy_full
"[[7, 2, 1]]",1,56,10_easy_full
"[[4, 9, 1], [0, 5, 2], [6, 6, 1]]",3,1,10_easy_full
"[[5, 8, 1], [7, 2, 2]]",2,1,10_easy_full
"[[4, 9, 1], [0, 5, 2], [7, 8, 1]]",3,2,10_easy_full
"[[4, 9, 1], [0, 5, 2], [8, 5, 1]]",3,7,10_easy_full
"[[1, 2, 1], [4, 4, 2]]",2,4,10_easy_full
"[[6, 5, 1], [5, 3, 2]]",2,2,10_easy_full
"[[6, 3, 1], [9, 8, 2], [9, 4, 1]]",3,1,10_easy_full
"[[1, 0, 1], [5, 5, 2]]",2,1,10_easy_full
"[[0, 9, 1], [8, 5, 2]]",2,1,10_easy_full
"[[9, 4, 1], [3, 2, 2]]",2,3,10_easy_full
"[[9, 8, 1], [6, 5, 2]]",2,1,10_easy_full
"[[7, 4, 1], [6, 5, 2]]",2,1,10_easy_full
"[[8, 3, 1], [6, 5, 2]]",2,1,10_easy_full
"[[0, 0, 1], [9, 3, 2]]",2,1,10_easy_full
"[[0, 5, 1], [4, 9, 2], [5, 4, 1]]",3,3,10_easy_full
"[[5, 4, 1], [6, 2, 2]]",2,4,10_easy_full
"[[8, 3, 1], [9, 9, 2]]",2,3,10_easy_full
"[[7, 4, 1], [5, 4, 2]]",2,1,10_easy_full
"[[9, 8, 1], [7, 5, 2]]",2,1,10_easy_full
"[[1, 0, 1], [4, 4, 2]]",2,3,10_easy_full
"[[8, 7, 1], [8, 2, 2]]",2,1,10_easy_full
"[[4, 4, 1], [5, 7, 2]]",2,1,10_easy_full
"[[1, 8, 1], [1, 9, 2], [5, 3, 1]]",3,4,10_easy_full
"[[6, 5, 1], [9, 4, 2], [9, 3, 1]]",3,1,10_easy_full
"[[6, 2, 1], [5, 4, 2]]",2,1,10_easy_full
"[[5, 3, 1], [7, 4, 2]]",2,1,10_easy_full
"[[5, 9, 1], [9, 4, 2]]",2,3,10_easy_full
"[[5, 9, 1], [7, 4, 2]]",2,1,10_easy_full
"[[2, 0, 1], [2, 8, 2]]",2,1,10_easy_full
"[[0, 1, 1]]",1,18,10_easy_full
"[[7, 2, 1], [2, 8, 2]]",2,3,10_easy_full
"[[1, 1, 1], [5, 5, 2]]",2,2,10_easy_full
"[[8, 5, 1], [9, 1, 2]]",2,1,10_easy_full
"[[8, 5, 1], [9, 3, 2]]",2,1,10_easy_full
"[[1, 9, 1], [1, 8, 2], [3, 1, 1]]",3,1,10_easy_full
"[[3, 2, 1], [1, 9, 2]]",2,1,10_easy_full
"[[9, 4, 1], [8, 1, 2]]",2,1,10_easy_full
"[[0, 5, 1], [4, 9, 2], [1, 8, 1]]",3,1,10_easy_full
"[[8, 3, 1], [7, 5, 2]]",2,2,10_easy_full
"[[0, 5, 1], [4, 9, 2]]",2,55,10_easy_full
"[[7, 5, 1], [9, 8, 2]]",2,24,10_easy_full
"[[6, 5, 1], [4, 9, 2]]",2,2,10_easy_full
"[[9, 4, 1], [4, 7, 2]]",2,3,10_easy_full
"[[9, 4, 1], [7, 3, 2]]",2,6,10_easy_full
"[[9, 8, 1], [7, 2, 2]]",2,2,10_easy_full
"[[6, 4, 1]]",1,103,10_easy_full
"[[6, 6, 1], [5, 5, 2]]",2,1,10_easy_full
"[[0, 2, 1], [4, 7, 2]]",2,1,10_easy_full
"[[3, 2, 1], [9, 9, 2]]",2,1,10_easy_full
"[[2, 9, 1], [9, 8, 2]]",2,7,10_easy_full
"[[0, 3, 1], [5, 7, 2]]",2,1,10_easy_full
"[[0, 2, 1], [5, 4, 2]]",2,1,10_easy_full
"[[8, 1, 1], [6, 2, 2]]",2,1,10_easy_full
"[[0, 2, 1], [9, 4, 2]]",2,7,10_easy_full
"[[9, 4, 1], [7, 2, 2]]",2,4,10_easy_full
"[[3, 2, 1], [5, 5, 2]]",2,5,10_easy_full
"[[1, 2, 1], [9, 4, 2]]",2,3,10_easy_full
"[[6, 5, 1], [5, 8, 2]]",2,1,10_easy_full
"[[9, 4, 1], [4, 4, 2]]",2,29,10_easy_full
"[[9, 8, 1], [4, 4, 2]]",2,16,10_easy_full
"[[4, 9, 1], [0, 5, 2], [2, 2, 1]]",3,1,10_easy_full
